,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,gdp_for_year ($),gdp_per_capita ($),generation
22613,Singapore,2002,male,15-24 years,15,216400,6.93,Singapore2002,91941192896.0,29048,Millenials
22614,Singapore,2002,female,5-14 years,0,247700,0.0,Singapore2002,91941192896.0,29048,Millenials
22615,Singapore,2002,male,5-14 years,0,263200,0.0,Singapore2002,91941192896.0,29048,Millenials
22616,Singapore,2003,male,75+ years,22,39400,55.84,Singapore2003,97001377569.0,30067,Silent
22617,Singapore,2003,female,75+ years,16,57000,28.07,Singapore2003,97001377569.0,30067,Silent
22618,Singapore,2003,male,55-74 years,39,218800,17.82,Singapore2003,97001377569.0,30067,Silent
22619,Singapore,2003,male,25-34 years,38,263800,14.4,Singapore2003,97001377569.0,30067,Generation X
22620,Singapore,2003,male,35-54 years,76,592400,12.83,Singapore2003,97001377569.0,30067,Boomers
22621,Singapore,2003,female,55-74 years,26,232800,11.17,Singapore2003,97001377569.0,30067,Silent
22622,Singapore,2003,male,15-24 years,24,221500,10.84,Singapore2003,97001377569.0,30067,Millenials
22623,Singapore,2003,female,35-54 years,42,586600,7.16,Singapore2003,97001377569.0,30067,Boomers
22624,Singapore,2003,female,25-34 years,20,286600,6.98,Singapore2003,97001377569.0,30067,Generation X
22625,Singapore,2003,female,15-24 years,13,214300,6.07,Singapore2003,97001377569.0,30067,Millenials
22626,Singapore,2003,female,5-14 years,2,248900,0.8,Singapore2003,97001377569.0,30067,Millenials
22627,Singapore,2003,male,5-14 years,2,264100,0.76,Singapore2003,97001377569.0,30067,Millenials
22628,Singapore,2004,male,75+ years,24,42100,57.01,Singapore2004,114000000000.0,34799,Silent
22629,Singapore,2004,female,75+ years,14,60900,22.99,Singapore2004,114000000000.0,34799,Silent
22630,Singapore,2004,male,55-74 years,46,231800,19.84,Singapore2004,114000000000.0,34799,Silent
22631,Singapore,2004,male,35-54 years,87,598400,14.54,Singapore2004,114000000000.0,34799,Boomers
22632,Singapore,2004,female,55-74 years,32,246500,12.98,Singapore2004,114000000000.0,34799,Silent
22633,Singapore,2004,male,25-34 years,34,263100,12.92,Singapore2004,114000000000.0,34799,Generation X
22634,Singapore,2004,female,35-54 years,52,597700,8.7,Singapore2004,114000000000.0,34799,Boomers
22635,Singapore,2004,female,25-34 years,18,287900,6.25,Singapore2004,114000000000.0,34799,Generation X
22636,Singapore,2004,male,15-24 years,13,228400,5.69,Singapore2004,114000000000.0,34799,Millenials
22637,Singapore,2004,female,15-24 years,10,220500,4.54,Singapore2004,114000000000.0,34799,Millenials
22638,Singapore,2004,female,5-14 years,4,243800,1.64,Singapore2004,114000000000.0,34799,Millenials
22639,Singapore,2004,male,5-14 years,1,260300,0.38,Singapore2004,114000000000.0,34799,Millenials
22640,Singapore,2005,male,75+ years,32,44200,72.4,Singapore2005,127000000000.0,38122,Silent
22641,Singapore,2005,male,55-74 years,56,245000,22.86,Singapore2005,127000000000.0,38122,Silent
22642,Singapore,2005,female,75+ years,11,64200,17.13,Singapore2005,127000000000.0,38122,Silent
22643,Singapore,2005,male,35-54 years,99,605700,16.34,Singapore2005,127000000000.0,38122,Boomers
22644,Singapore,2005,male,25-34 years,37,265600,13.93,Singapore2005,127000000000.0,38122,Generation X
22645,Singapore,2005,female,55-74 years,27,259500,10.4,Singapore2005,127000000000.0,38122,Silent
22646,Singapore,2005,female,35-54 years,50,604300,8.27,Singapore2005,127000000000.0,38122,Boomers
22647,Singapore,2005,male,15-24 years,16,233900,6.84,Singapore2005,127000000000.0,38122,Millenials
22648,Singapore,2005,female,15-24 years,13,225500,5.76,Singapore2005,127000000000.0,38122,Millenials
22649,Singapore,2005,female,25-34 years,15,289600,5.18,Singapore2005,127000000000.0,38122,Generation X
22650,Singapore,2005,female,5-14 years,3,244900,1.22,Singapore2005,127000000000.0,38122,Millenials
22651,Singapore,2005,male,5-14 years,0,260000,0.0,Singapore2005,127000000000.0,38122,Millenials
22652,Singapore,2006,male,75+ years,14,46700,29.98,Singapore2006,148000000000.0,43318,Silent
22653,Singapore,2006,female,75+ years,19,67600,28.11,Singapore2006,148000000000.0,43318,Silent
22654,Singapore,2006,male,55-74 years,58,258800,22.41,Singapore2006,148000000000.0,43318,Silent
22655,Singapore,2006,male,35-54 years,118,615500,19.17,Singapore2006,148000000000.0,43318,Boomers
22656,Singapore,2006,female,55-74 years,39,273400,14.26,Singapore2006,148000000000.0,43318,Silent
22657,Singapore,2006,male,25-34 years,25,267200,9.36,Singapore2006,148000000000.0,43318,Generation X
22658,Singapore,2006,female,35-54 years,55,616100,8.93,Singapore2006,148000000000.0,43318,Boomers
22659,Singapore,2006,female,25-34 years,24,292800,8.2,Singapore2006,148000000000.0,43318,Generation X
22660,Singapore,2006,male,15-24 years,15,240400,6.24,Singapore2006,148000000000.0,43318,Millenials
22661,Singapore,2006,female,15-24 years,3,231800,1.29,Singapore2006,148000000000.0,43318,Millenials
22662,Singapore,2006,female,5-14 years,1,243400,0.41,Singapore2006,148000000000.0,43318,Millenials
22663,Singapore,2006,male,5-14 years,1,258200,0.39,Singapore2006,148000000000.0,43318,Millenials
22664,Singapore,2007,male,75+ years,27,45000,60.0,Singapore2007,180000000000.0,53098,Silent
22665,Singapore,2007,female,75+ years,17,68300,24.89,Singapore2007,180000000000.0,53098,Silent
22666,Singapore,2007,male,55-74 years,41,267000,15.36,Singapore2007,180000000000.0,53098,Silent
22667,Singapore,2007,female,55-74 years,40,281800,14.19,Singapore2007,180000000000.0,53098,Silent
22668,Singapore,2007,male,35-54 years,77,609000,12.64,Singapore2007,180000000000.0,53098,Boomers
22669,Singapore,2007,male,25-34 years,28,263500,10.63,Singapore2007,180000000000.0,53098,Generation X
22670,Singapore,2007,male,15-24 years,24,242200,9.91,Singapore2007,180000000000.0,53098,Millenials
22671,Singapore,2007,female,35-54 years,46,608800,7.56,Singapore2007,180000000000.0,53098,Boomers
22672,Singapore,2007,female,25-34 years,18,285500,6.3,Singapore2007,180000000000.0,53098,Generation X
22673,Singapore,2007,female,15-24 years,10,233600,4.28,Singapore2007,180000000000.0,53098,Millenials
22674,Singapore,2007,female,5-14 years,0,235100,0.0,Singapore2007,180000000000.0,53098,Generation Z
22675,Singapore,2007,male,5-14 years,0,249800,0.0,Singapore2007,180000000000.0,53098,Generation Z
22676,Singapore,2008,male,75+ years,28,47500,58.95,Singapore2008,192000000000.0,55735,Silent
22677,Singapore,2008,female,75+ years,13,71800,18.11,Singapore2008,192000000000.0,55735,Silent
22678,Singapore,2008,male,55-74 years,49,282300,17.36,Singapore2008,192000000000.0,55735,Silent
22679,Singapore,2008,male,35-54 years,93,615400,15.11,Singapore2008,192000000000.0,55735,Boomers
22680,Singapore,2008,male,25-34 years,27,265900,10.15,Singapore2008,192000000000.0,55735,Generation X
22681,Singapore,2008,female,55-74 years,29,296800,9.77,Singapore2008,192000000000.0,55735,Silent
22682,Singapore,2008,female,35-54 years,45,616400,7.3,Singapore2008,192000000000.0,55735,Boomers
22683,Singapore,2008,female,25-34 years,14,287100,4.88,Singapore2008,192000000000.0,55735,Generation X
22684,Singapore,2008,female,15-24 years,11,240800,4.57,Singapore2008,192000000000.0,55735,Millenials
22685,Singapore,2008,male,15-24 years,9,247500,3.64,Singapore2008,192000000000.0,55735,Millenials
22686,Singapore,2008,male,5-14 years,1,245300,0.41,Singapore2008,192000000000.0,55735,Generation Z
22687,Singapore,2008,female,5-14 years,0,232100,0.0,Singapore2008,192000000000.0,55735,Generation Z
22772,Slovakia,1992,male,75+ years,45,80914,55.61,Slovakia1992,15431288006.0,3143,G.I. Generation
22773,Slovakia,1992,male,35-54 years,299,681903,43.85,Slovakia1992,15431288006.0,3143,Boomers
22774,Slovakia,1992,male,55-74 years,153,376475,40.64,Slovakia1992,15431288006.0,3143,Silent
22775,Slovakia,1992,male,25-34 years,101,397370,25.42,Slovakia1992,15431288006.0,3143,Boomers
22776,Slovakia,1992,male,15-24 years,54,409337,13.19,Slovakia1992,15431288006.0,3143,Generation X
22777,Slovakia,1992,female,55-74 years,53,482354,10.99,Slovakia1992,15431288006.0,3143,Silent
22778,Slovakia,1992,female,75+ years,15,140211,10.7,Slovakia1992,15431288006.0,3143,G.I. Generation
22779,Slovakia,1992,female,35-54 years,49,704576,6.95,Slovakia1992,15431288006.0,3143,Boomers
22780,Slovakia,1992,female,25-34 years,16,385070,4.16,Slovakia1992,15431288006.0,3143,Boomers
22781,Slovakia,1992,female,15-24 years,7,392659,1.78,Slovakia1992,15431288006.0,3143,Generation X
22782,Slovakia,1992,female,5-14 years,2,419798,0.48,Slovakia1992,15431288006.0,3143,Millenials
22783,Slovakia,1992,male,5-14 years,2,438561,0.46,Slovakia1992,15431288006.0,3143,Millenials
22784,Slovakia,1993,male,75+ years,38,76871,49.43,Slovakia1993,16452201101.0,3334,G.I. Generation
22785,Slovakia,1993,male,35-54 years,304,697893,43.56,Slovakia1993,16452201101.0,3334,Boomers
22786,Slovakia,1993,male,55-74 years,133,379898,35.01,Slovakia1993,16452201101.0,3334,Silent
22787,Slovakia,1993,male,25-34 years,93,389917,23.85,Slovakia1993,16452201101.0,3334,Boomers
22788,Slovakia,1993,male,15-24 years,52,420445,12.37,Slovakia1993,16452201101.0,3334,Generation X
22789,Slovakia,1993,female,75+ years,15,135118,11.1,Slovakia1993,16452201101.0,3334,G.I. Generation
22790,Slovakia,1993,female,55-74 years,36,491822,7.32,Slovakia1993,16452201101.0,3334,Silent
22791,Slovakia,1993,female,35-54 years,38,719170,5.28,Slovakia1993,16452201101.0,3334,Boomers
22792,Slovakia,1993,female,25-34 years,16,378035,4.23,Slovakia1993,16452201101.0,3334,Boomers
22793,Slovakia,1993,female,15-24 years,11,403487,2.73,Slovakia1993,16452201101.0,3334,Generation X
22794,Slovakia,1993,male,5-14 years,2,430319,0.46,Slovakia1993,16452201101.0,3334,Millenials
22795,Slovakia,1993,female,5-14 years,0,412285,0.0,Slovakia1993,16452201101.0,3334,Millenials
22796,Slovakia,1994,male,75+ years,32,65983,48.5,Slovakia1994,20079363626.0,4036,G.I. Generation
22797,Slovakia,1994,male,35-54 years,263,698995,37.63,Slovakia1994,20079363626.0,4036,Boomers
22798,Slovakia,1994,male,55-74 years,133,367426,36.2,Slovakia1994,20079363626.0,4036,Silent
22799,Slovakia,1994,male,25-34 years,85,387422,21.94,Slovakia1994,20079363626.0,4036,Boomers
22800,Slovakia,1994,male,15-24 years,66,450907,14.64,Slovakia1994,20079363626.0,4036,Generation X
22801,Slovakia,1994,female,75+ years,9,122342,7.36,Slovakia1994,20079363626.0,4036,G.I. Generation
22802,Slovakia,1994,female,35-54 years,50,718166,6.96,Slovakia1994,20079363626.0,4036,Boomers
22803,Slovakia,1994,female,55-74 years,28,483484,5.79,Slovakia1994,20079363626.0,4036,Silent
22804,Slovakia,1994,female,15-24 years,12,434306,2.76,Slovakia1994,20079363626.0,4036,Generation X
22805,Slovakia,1994,female,25-34 years,8,377351,2.12,Slovakia1994,20079363626.0,4036,Boomers
22806,Slovakia,1994,male,5-14 years,4,443362,0.9,Slovakia1994,20079363626.0,4036,Millenials
22807,Slovakia,1994,female,5-14 years,1,425114,0.24,Slovakia1994,20079363626.0,4036,Millenials
22808,Slovakia,1995,male,75+ years,37,67938,54.46,Slovakia1995,25733043137.0,5141,G.I. Generation
22809,Slovakia,1995,male,55-74 years,144,367372,39.2,Slovakia1995,25733043137.0,5141,Silent
22810,Slovakia,1995,male,35-54 years,271,712185,38.05,Slovakia1995,25733043137.0,5141,Boomers
22811,Slovakia,1995,male,25-34 years,94,385556,24.38,Slovakia1995,25733043137.0,5141,Generation X
22812,Slovakia,1995,male,15-24 years,58,460307,12.6,Slovakia1995,25733043137.0,5141,Generation X
22813,Slovakia,1995,female,55-74 years,39,485289,8.04,Slovakia1995,25733043137.0,5141,Silent
22814,Slovakia,1995,female,35-54 years,47,729026,6.45,Slovakia1995,25733043137.0,5141,Boomers
22815,Slovakia,1995,female,75+ years,8,126028,6.35,Slovakia1995,25733043137.0,5141,G.I. Generation
22816,Slovakia,1995,female,25-34 years,18,375575,4.79,Slovakia1995,25733043137.0,5141,Generation X
22817,Slovakia,1995,female,15-24 years,9,443602,2.03,Slovakia1995,25733043137.0,5141,Generation X
22818,Slovakia,1995,female,5-14 years,5,416980,1.2,Slovakia1995,25733043137.0,5141,Millenials
22819,Slovakia,1995,male,5-14 years,5,435374,1.15,Slovakia1995,25733043137.0,5141,Millenials
22820,Slovakia,1996,male,75+ years,29,70501,41.13,Slovakia1996,27821913815.0,5529,G.I. Generation
22821,Slovakia,1996,male,55-74 years,136,366561,37.1,Slovakia1996,27821913815.0,5529,Silent
22822,Slovakia,1996,male,35-54 years,242,723992,33.43,Slovakia1996,27821913815.0,5529,Boomers
22823,Slovakia,1996,male,25-34 years,89,384759,23.13,Slovakia1996,27821913815.0,5529,Generation X
22824,Slovakia,1996,male,15-24 years,62,466866,13.28,Slovakia1996,27821913815.0,5529,Generation X
22825,Slovakia,1996,female,75+ years,10,131422,7.61,Slovakia1996,27821913815.0,5529,G.I. Generation
22826,Slovakia,1996,female,35-54 years,50,739024,6.77,Slovakia1996,27821913815.0,5529,Boomers
22827,Slovakia,1996,female,55-74 years,30,485389,6.18,Slovakia1996,27821913815.0,5529,Silent
22828,Slovakia,1996,female,25-34 years,9,374451,2.4,Slovakia1996,27821913815.0,5529,Generation X
22829,Slovakia,1996,male,5-14 years,8,428880,1.87,Slovakia1996,27821913815.0,5529,Millenials
22830,Slovakia,1996,female,15-24 years,5,450138,1.11,Slovakia1996,27821913815.0,5529,Generation X
22831,Slovakia,1996,female,5-14 years,2,410453,0.49,Slovakia1996,27821913815.0,5529,Millenials
22832,Slovakia,1997,male,75+ years,32,74296,43.07,Slovakia1997,27660149541.0,5468,G.I. Generation
22833,Slovakia,1997,male,35-54 years,259,735016,35.24,Slovakia1997,27660149541.0,5468,Boomers
22834,Slovakia,1997,male,55-74 years,116,365411,31.75,Slovakia1997,27660149541.0,5468,Silent
22835,Slovakia,1997,male,25-34 years,70,386309,18.12,Slovakia1997,27660149541.0,5468,Generation X
22836,Slovakia,1997,male,15-24 years,46,471096,9.76,Slovakia1997,27660149541.0,5468,Generation X
22837,Slovakia,1997,female,75+ years,13,138765,9.37,Slovakia1997,27660149541.0,5468,G.I. Generation
22838,Slovakia,1997,female,55-74 years,32,484165,6.61,Slovakia1997,27660149541.0,5468,Silent
22839,Slovakia,1997,female,35-54 years,44,748326,5.88,Slovakia1997,27660149541.0,5468,Boomers
22840,Slovakia,1997,female,15-24 years,10,454003,2.2,Slovakia1997,27660149541.0,5468,Generation X
22841,Slovakia,1997,female,25-34 years,7,375884,1.86,Slovakia1997,27660149541.0,5468,Generation X
22842,Slovakia,1997,male,5-14 years,1,421702,0.24,Slovakia1997,27660149541.0,5468,Millenials
22843,Slovakia,1997,female,5-14 years,0,403416,0.0,Slovakia1997,27660149541.0,5468,Millenials
22844,Slovakia,1998,male,35-54 years,295,746000,39.54,Slovakia1998,29828899206.0,5871,Boomers
22845,Slovakia,1998,male,75+ years,28,77400,36.18,Slovakia1998,29828899206.0,5871,G.I. Generation
22846,Slovakia,1998,male,55-74 years,110,364300,30.19,Slovakia1998,29828899206.0,5871,Silent
22847,Slovakia,1998,male,25-34 years,82,390300,21.01,Slovakia1998,29828899206.0,5871,Generation X
22848,Slovakia,1998,male,15-24 years,68,473000,14.38,Slovakia1998,29828899206.0,5871,Generation X
22849,Slovakia,1998,female,55-74 years,30,482800,6.21,Slovakia1998,29828899206.0,5871,Silent
22850,Slovakia,1998,female,75+ years,9,145500,6.19,Slovakia1998,29828899206.0,5871,G.I. Generation
22851,Slovakia,1998,female,35-54 years,38,757700,5.02,Slovakia1998,29828899206.0,5871,Boomers
22852,Slovakia,1998,female,15-24 years,6,455200,1.32,Slovakia1998,29828899206.0,5871,Generation X
22853,Slovakia,1998,female,25-34 years,5,380100,1.32,Slovakia1998,29828899206.0,5871,Generation X
22854,Slovakia,1998,male,5-14 years,2,413300,0.48,Slovakia1998,29828899206.0,5871,Millenials
22855,Slovakia,1998,female,5-14 years,0,395500,0.0,Slovakia1998,29828899206.0,5871,Millenials
22856,Slovakia,1999,male,75+ years,34,80000,42.5,Slovakia1999,30415095887.0,5966,G.I. Generation
22857,Slovakia,1999,male,55-74 years,143,364300,39.25,Slovakia1999,30415095887.0,5966,Silent
22858,Slovakia,1999,male,35-54 years,283,756700,37.4,Slovakia1999,30415095887.0,5966,Boomers
22859,Slovakia,1999,male,25-34 years,67,395600,16.94,Slovakia1999,30415095887.0,5966,Generation X
22860,Slovakia,1999,male,15-24 years,58,471800,12.29,Slovakia1999,30415095887.0,5966,Generation X
22861,Slovakia,1999,female,55-74 years,30,483100,6.21,Slovakia1999,30415095887.0,5966,Silent
22862,Slovakia,1999,female,75+ years,9,151500,5.94,Slovakia1999,30415095887.0,5966,G.I. Generation
22863,Slovakia,1999,female,35-54 years,44,766900,5.74,Slovakia1999,30415095887.0,5966,Boomers
22864,Slovakia,1999,female,25-34 years,10,385400,2.59,Slovakia1999,30415095887.0,5966,Generation X
22865,Slovakia,1999,female,15-24 years,9,453700,1.98,Slovakia1999,30415095887.0,5966,Generation X
22866,Slovakia,1999,male,5-14 years,5,403400,1.24,Slovakia1999,30415095887.0,5966,Millenials
22867,Slovakia,1999,female,5-14 years,0,385800,0.0,Slovakia1999,30415095887.0,5966,Millenials
22868,Slovakia,2000,male,75+ years,35,82153,42.6,Slovakia2000,29114875622.0,5696,G.I. Generation
22869,Slovakia,2000,male,55-74 years,133,365309,36.41,Slovakia2000,29114875622.0,5696,Silent
22870,Slovakia,2000,male,35-54 years,274,767138,35.72,Slovakia2000,29114875622.0,5696,Boomers
22871,Slovakia,2000,male,25-34 years,83,403167,20.59,Slovakia2000,29114875622.0,5696,Generation X
22872,Slovakia,2000,male,15-24 years,66,469079,14.07,Slovakia2000,29114875622.0,5696,Generation X
22873,Slovakia,2000,female,75+ years,15,156671,9.57,Slovakia2000,29114875622.0,5696,G.I. Generation
22874,Slovakia,2000,female,35-54 years,64,775726,8.25,Slovakia2000,29114875622.0,5696,Boomers
22875,Slovakia,2000,female,55-74 years,39,484667,8.05,Slovakia2000,29114875622.0,5696,Silent
22876,Slovakia,2000,female,15-24 years,9,450931,2.0,Slovakia2000,29114875622.0,5696,Generation X
22877,Slovakia,2000,female,25-34 years,7,392452,1.78,Slovakia2000,29114875622.0,5696,Generation X
22878,Slovakia,2000,male,5-14 years,3,390756,0.77,Slovakia2000,29114875622.0,5696,Millenials
22879,Slovakia,2000,female,5-14 years,1,373764,0.27,Slovakia2000,29114875622.0,5696,Millenials
22880,Slovakia,2001,male,75+ years,35,81427,42.98,Slovakia2001,30703017450.0,6020,Silent
22881,Slovakia,2001,male,35-54 years,275,767503,35.83,Slovakia2001,30703017450.0,6020,Boomers
22882,Slovakia,2001,male,55-74 years,113,364806,30.98,Slovakia2001,30703017450.0,6020,Silent
22883,Slovakia,2001,male,25-34 years,93,406975,22.85,Slovakia2001,30703017450.0,6020,Generation X
22884,Slovakia,2001,male,15-24 years,61,467712,13.04,Slovakia2001,30703017450.0,6020,Millenials
22885,Slovakia,2001,female,75+ years,14,158161,8.85,Slovakia2001,30703017450.0,6020,Silent
22886,Slovakia,2001,female,35-54 years,55,779840,7.05,Slovakia2001,30703017450.0,6020,Boomers
22887,Slovakia,2001,female,55-74 years,25,483308,5.17,Slovakia2001,30703017450.0,6020,Silent
